TimeID,Date,Month,Month_text,Quarter,Quarter_text,year
43023,10/15/2017,10,October                                           ,3,Qtr3                                              ,2017
43033,10/25/2017,10,October                                           ,3,Qtr3                                              ,2017
43089,12/20/2017,12,December                                          ,3,Qtr3                                              ,2017
43184,3/25/2018,3,March                                             ,1,Qtr1                                              ,2018
43186,3/27/2018,3,March                                             ,1,Qtr1                                              ,2018
43190,3/31/2018,3,March                                             ,1,Qtr1                                              ,2018
43193,4/3/2018,4,April                                             ,2,Qtr2                                              ,2018
43198,4/8/2018,4,April                                             ,2,Qtr2                                              ,2018
43213,4/23/2018,4,April                                             ,2,Qtr2                                              ,2018
43227,5/7/2018,5,May                                               ,2,Qtr2                                              ,2018
43241,5/21/2018,5,May                                               ,2,Qtr2                                              ,2018
43256,6/5/2018,6,June                                              ,2,Qtr2                                              ,2018
